THRUST LADDER: 36 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (0 cells resumed/skipped)
THRUST LADDER: 36 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (0 cells resumed/skipped)
  ( 1, 1) T= 15.0  tf=0.11968 (0.531 d)  fly=0.02km  acc=NaN  fail (275s)
  ( 1, 1) T= 12.0  tf=0.08517 (0.378 d)  fly=0.00km  acc=0.0e+00  OK (7s)
  ( 1, 1) T= 10.0  tf=0.09455 (0.419 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  7.0  tf=0.11667 (0.517 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  5.0  tf=0.14380 (0.637 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  3.0  tf=0.20463 (0.907 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  2.0  tf=0.28639 (1.269 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 1, 1) T=  1.5  tf=0.38231 (1.695 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  1.0  tf=0.62303 (2.762 d)  fly=0.00km  acc=0.0e+00  OK (4s)
  [batch wall budget reached -- exiting cleanly after 1 cells]
THRUST LADDER DONE: 8 verified entries over 36 cells, 4.9 min
THRUST LADDER: 35 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (1 cells resumed/skipped)
  ( 2, 1) T= 15.0  tf=0.09424 (0.418 d)  fly=0.00km  acc=0.0e+00  OK (12s)
  ( 2, 1) T= 12.0  tf=0.10714 (0.475 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T= 10.0  tf=0.11904 (0.528 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  7.0  tf=0.14659 (0.650 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T=  5.0  tf=0.17930 (0.795 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T=  3.0  tf=0.24911 (1.104 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  2.0  tf=0.33803 (1.498 d)  fly=0.00km  acc=0.0e+00  OK (13s)
  ( 2, 1) T=  1.5  tf=0.43786 (1.941 d)  fly=0.00km  acc=0.0e+00  OK (14s)
  ( 2, 1) T=  1.0  tf=0.35486 (1.573 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 3, 1) T= 15.0  tf=0.10258 (0.455 d)  fly=0.00km  acc=0.0e+00  OK (10s)
  ( 3, 1) T= 12.0  tf=0.11573 (0.513 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T= 10.0  tf=0.12766 (0.566 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  7.0  tf=0.15464 (0.685 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 1) T=  5.0  tf=0.18560 (0.823 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 1) T=  3.0  tf=0.24745 (1.097 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 3, 1) T=  2.0  tf=0.31526 (1.397 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 1) T=  1.5  tf=0.31203 (1.383 d)  fly=0.00km  acc=NaN  fail (3s)
  ( 3, 1) T=  1.0  tf=0.39195 (1.737 d)  fly=0.00km  acc=0.0e+00  OK (4s)
  ( 4, 1) T= 15.0  tf=0.10094 (0.447 d)  fly=0.00km  acc=0.0e+00  OK (11s)
  ( 4, 1) T= 12.0  tf=0.11295 (0.501 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 4, 1) T= 10.0  tf=0.12362 (0.548 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 4, 1) T=  7.0  tf=0.14690 (0.651 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 4, 1) T=  5.0  tf=0.17199 (0.762 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 4, 1) T=  3.0  tf=0.21655 (0.960 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 4, 1) T=  2.0  tf=0.25868 (1.147 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 4, 1) T=  1.5  tf=0.29371 (1.302 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 4, 1) T=  1.0  tf=0.35552 (1.576 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 5, 1) T= 15.0  tf=0.09273 (0.411 d)  fly=0.00km  acc=0.0e+00  OK (45s)
  ( 5, 1) T= 12.0  tf=0.10322 (0.458 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 1) T= 10.0  tf=0.11247 (0.499 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 1) T=  7.0  tf=0.13237 (0.587 d)  fly=0.00km  acc=0.0e+00  OK (4s)
  ( 5, 1) T=  5.0  tf=0.15337 (0.680 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 1) T=  3.0  tf=0.18941 (0.840 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 1) T=  2.0  tf=0.22180 (0.983 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 1) T=  1.5  tf=0.24746 (1.097 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 1) T=  1.0  tf=0.29100 (1.290 d)  fly=0.00km  acc=0.0e+00  OK (6s)
  ( 6, 1) T= 15.0  tf=0.07803 (0.346 d)  fly=0.00km  acc=0.0e+00  OK (12s)
  ( 6, 1) T= 12.0  tf=0.08664 (0.384 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 1) T= 10.0  tf=0.09425 (0.418 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 1) T=  7.0  tf=0.11076 (0.491 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 1) T=  5.0  tf=0.12855 (0.570 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 1) T=  3.0  tf=0.16104 (0.714 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 1) T=  2.0  tf=0.19526 (0.866 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 1) T=  1.5  tf=0.23092 (1.024 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 1) T=  1.0  tf=0.35603 (1.578 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 2) T= 15.0  tf=0.11278 (0.500 d)  fly=0.02km  acc=NaN  fail (122s)
  ( 1, 2) T= 12.0  tf=0.10333 (0.458 d)  fly=0.00km  acc=0.0e+00  OK (6s)
  ( 1, 2) T= 10.0  tf=0.11505 (0.510 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 2) T=  7.0  tf=0.14246 (0.631 d)  fly=0.00km  acc=0.0e+00  OK (1s)
