THRUST LADDER: 36 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (0 cells resumed/skipped)
  ( 1, 1) T= 15.0  tf=0.12927 (0.573 d)  fly=0.02km  acc=NaN  fail (157s)
  ( 1, 1) T= 12.0  tf=0.08982 (0.398 d)  fly=0.00km  acc=0.0e+00  OK (7s)
  ( 1, 1) T= 10.0  tf=0.09946 (0.441 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  7.0  tf=0.12187 (0.540 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  5.0  tf=0.14866 (0.659 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  3.0  tf=0.20577 (0.912 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  2.0  tf=0.27687 (1.227 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  1.5  tf=0.35614 (1.579 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  1.0  rejected pre-flight (minAlt 4949 km, tf 4.9377) -- ladder stops
  ( 2, 1) T= 15.0  tf=0.10608 (0.470 d)  fly=0.00km  acc=0.0e+00  OK (12s)
  ( 2, 1) T= 12.0  tf=0.12041 (0.534 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T= 10.0  tf=0.13355 (0.592 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  7.0  tf=0.16368 (0.726 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  5.0  tf=0.19875 (0.881 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  3.0  tf=0.26988 (1.196 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  2.0  tf=0.35275 (1.564 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T=  1.5  tf=0.43955 (1.948 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  1.0  tf=0.64257 (2.848 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  [batch wall budget reached -- exiting cleanly after 2 cells]
THRUST LADDER DONE: 16 verified entries over 36 cells, 4.0 min
THRUST LADDER: 34 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (2 cells resumed/skipped)
  ( 3, 1) T= 15.0  tf=0.11181 (0.496 d)  fly=0.00km  acc=0.0e+00  OK (13s)
  ( 3, 1) T= 12.0  tf=0.12624 (0.560 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 1) T= 10.0  tf=0.13933 (0.618 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  7.0  tf=0.16889 (0.749 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  5.0  tf=0.20270 (0.898 d)  fly=0.00km  acc=0.0e+00  OK (1s)
