THRUST LADDER: 36 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (0 cells resumed/skipped)
  ( 1, 1) T= 15.0  tf=0.12592 (0.558 d)  fly=0.04km  acc=NaN  fail (171s)
  ( 1, 1) T= 12.0  tf=0.13158 (0.583 d)  fly=0.00km  acc=0.0e+00  OK (4s)
  ( 1, 1) T= 10.0  tf=0.14473 (0.642 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  7.0  tf=0.17395 (0.771 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  5.0  tf=0.20638 (0.915 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  3.0  tf=0.26675 (1.182 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  2.0  tf=0.32741 (1.451 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  1.5  tf=0.38055 (1.687 d)  fly=0.00km  acc=0.0e+00  OK (52s)
  ( 1, 1) T=  1.0  tf=0.47974 (2.127 d)  fly=0.00km  acc=0.0e+00  OK (20s)
  [batch wall budget reached -- exiting cleanly after 1 cells]
THRUST LADDER DONE: 8 verified entries over 36 cells, 4.2 min
THRUST LADDER: 35 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (1 cells resumed/skipped)
  ( 2, 1) T= 15.0  tf=0.11042 (0.489 d)  fly=0.00km  acc=0.0e+00  OK (42s)
  ( 2, 1) T= 12.0  tf=0.12399 (0.550 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T= 10.0  tf=0.13617 (0.604 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 2, 1) T=  7.0  tf=0.16315 (0.723 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 2, 1) T=  5.0  tf=0.19290 (0.855 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  3.0  tf=0.24763 (1.098 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  2.0  tf=0.30154 (1.337 d)  fly=0.00km  acc=0.0e+00  OK (47s)
  ( 2, 1) T=  1.5  tf=0.34776 (1.542 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  1.0  tf=0.43172 (1.914 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T= 15.0  tf=0.09619 (0.426 d)  fly=0.00km  acc=0.0e+00  OK (44s)
  ( 3, 1) T= 12.0  tf=0.10783 (0.478 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T= 10.0  tf=0.11827 (0.524 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  7.0  tf=0.14138 (0.627 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 1) T=  5.0  tf=0.16690 (0.740 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  3.0  tf=0.21401 (0.949 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  2.0  tf=0.26087 (1.156 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  1.5  tf=0.30174 (1.338 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  1.0  tf=0.37976 (1.683 d)  fly=0.00km  acc=0.0e+00  OK (5s)
  ( 4, 1) T= 15.0  tf=0.08886 (0.394 d)  fly=0.00km  acc=0.0e+00  OK (38s)
  ( 4, 1) T= 12.0  tf=0.10010 (0.444 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T= 10.0  tf=0.11033 (0.489 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T=  7.0  tf=0.13351 (0.592 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T=  5.0  tf=0.16013 (0.710 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T=  3.0  tf=0.21306 (0.944 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T=  2.0  tf=0.27208 (1.206 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T=  1.5  tf=0.32924 (1.459 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T=  1.0  tf=0.44494 (1.972 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 1) T= 15.0  tf=0.10317 (0.457 d)  fly=0.00km  acc=0.0e+00  OK (9s)
  ( 5, 1) T= 12.0  tf=0.11664 (0.517 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 1) T= 10.0  tf=0.12893 (0.571 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 1) T=  7.0  tf=0.15685 (0.695 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 1) T=  5.0  tf=0.18892 (0.837 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 1) T=  3.0  tf=0.25192 (1.117 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 1) T=  2.0  tf=0.32006 (1.419 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 1) T=  1.5  tf=0.38392 (1.702 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 1) T=  1.0  tf=0.51154 (2.267 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 1) T= 15.0  tf=0.11476 (0.509 d)  fly=0.00km  acc=0.0e+00  OK (9s)
  ( 6, 1) T= 12.0  tf=0.12946 (0.574 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 1) T= 10.0  tf=0.14276 (0.633 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 1) T=  7.0  tf=0.17265 (0.765 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 6, 1) T=  5.0  tf=0.20641 (0.915 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 1) T=  3.0  tf=0.27134 (1.203 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 1) T=  2.0  tf=0.34018 (1.508 d)  fly=0.00km  acc=0.0e+00  OK (8s)
  ( 6, 1) T=  1.5  tf=0.40361 (1.789 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 1) T=  1.0  tf=0.52702 (2.336 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  [batch wall budget reached -- exiting cleanly after 5 cells]
THRUST LADDER DONE: 53 verified entries over 35 cells, 4.3 min
THRUST LADDER: 30 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (6 cells resumed/skipped)
  ( 1, 2) T= 15.0  tf=0.12346 (0.547 d)  fly=0.03km  acc=NaN  fail (95s)
  ( 1, 2) T= 12.0  tf=0.12983 (0.575 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 1, 2) T= 10.0  tf=0.14307 (0.634 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 2) T=  7.0  tf=0.17273 (0.766 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 2) T=  5.0  tf=0.20597 (0.913 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 2) T=  3.0  tf=0.26885 (1.192 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 2) T=  2.0  tf=0.33321 (1.477 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 2) T=  1.5  tf=0.39022 (1.730 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 2) T=  1.0  tf=0.49649 (2.201 d)  fly=0.00km  acc=0.0e+00  OK (31s)
  ( 2, 2) T= 15.0  tf=0.12018 (0.533 d)  fly=0.00km  acc=0.0e+00  OK (126s)
  ( 2, 2) T= 12.0  tf=0.12657 (0.561 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 2, 2) T= 10.0  tf=0.13930 (0.617 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 2) T=  7.0  tf=0.16771 (0.743 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 2) T=  5.0  tf=0.19940 (0.884 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 2) T=  3.0  tf=0.25877 (1.147 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 2) T=  2.0  tf=0.31867 (1.413 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 2) T=  1.5  tf=0.37099 (1.644 d)  fly=0.00km  acc=0.0e+00  OK (1s)
