THRUST LADDER: 36 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (0 cells resumed/skipped)
  ( 1, 1) T= 15.0  tf=0.12484 (0.553 d)  fly=0.00km  acc=0.0e+00  OK (19s)
  ( 1, 1) T= 12.0  tf=0.14076 (0.624 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T= 10.0  tf=0.15516 (0.688 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 1, 1) T=  7.0  tf=0.18753 (0.831 d)  fly=0.00km  acc=0.0e+00  OK (4s)
  ( 1, 1) T=  5.0  tf=0.22425 (0.994 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 1, 1) T=  3.0  tf=0.29646 (1.314 d)  fly=0.00km  acc=0.0e+00  OK (10s)
  ( 1, 1) T=  2.0  tf=0.37799 (1.675 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  1.5  tf=0.46164 (2.046 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  1.0  tf=0.48416 (2.146 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 2, 1) T= 15.0  tf=0.12625 (0.560 d)  fly=0.00km  acc=0.0e+00  OK (13s)
  ( 2, 1) T= 12.0  tf=0.14279 (0.633 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T= 10.0  tf=0.15784 (0.700 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T=  7.0  tf=0.19196 (0.851 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  5.0  tf=0.23107 (1.024 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  3.0  tf=0.30861 (1.368 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  2.0  tf=0.39531 (1.752 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  1.5  tf=0.48053 (2.130 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  1.0  rejected pre-flight (minAlt 4051 km, tf 4.6499) -- ladder stops
  ( 3, 1) T= 15.0  tf=0.11307 (0.501 d)  fly=0.00km  acc=0.0e+00  OK (52s)
  ( 3, 1) T= 12.0  tf=0.12764 (0.566 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 1) T= 10.0  tf=0.14087 (0.624 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  7.0  tf=0.17077 (0.757 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  5.0  tf=0.20488 (0.908 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  3.0  tf=0.27157 (1.204 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  2.0  tf=0.34410 (1.525 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  1.5  tf=0.41354 (1.833 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  1.0  direct fail (defect 4.6e-04) -- ladder stops
  [batch wall budget reached -- exiting cleanly after 3 cells]
THRUST LADDER DONE: 25 verified entries over 36 cells, 5.2 min
THRUST LADDER: 33 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (3 cells resumed/skipped)
  ( 4, 1) T= 15.0  tf=0.09707 (0.430 d)  fly=0.00km  acc=0.0e+00  OK (64s)
  ( 4, 1) T= 12.0  tf=0.10923 (0.484 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 4, 1) T= 10.0  tf=0.12023 (0.533 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T=  7.0  tf=0.14491 (0.642 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T=  5.0  tf=0.17268 (0.765 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T=  3.0  tf=0.22551 (1.000 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T=  2.0  tf=0.28000 (1.241 d)  fly=0.00km  acc=0.0e+00  OK (1s)
