DIRECT SWEEP 12x12, N=800, sundman HS  (anchor at sD=0.000 sA=0.075)
reference-guided: attempting only the 132 cells the reference run proved green
wave 0 restricted to 8 known cold-opener cells
WAVE 0: cold chord seed, full budget 1500, sublattice stride 2 (36 points)
DIRECT SWEEP 12x12, N=800, sundman HS  (anchor at sD=0.000 sA=0.075)
reference-guided: attempting only the 132 cells the reference run proved green
wave 0 restricted to 8 known cold-opener cells
WAVE 0: cold chord seed, full budget 1500, sublattice stride 2 (36 points)
  [w0] ( 1, 3) tf=3.99232 dV=0.7440 peris=  8305 vArr=0.429 glob=9.88km PASS (70s)
  [w0] ( 1,11) tf=4.58676 dV=0.8604 peris=   500 vArr=0.503 glob=7.48km PASS (147s)
  [w0] ( 3, 9) tf=4.30187 dV=0.8044 peris=  7876 vArr=0.287 glob=4.32km PASS (67s)
  [w0] ( 5, 5) tf=4.75225 dV=0.8930 peris=  4760 vArr=0.207 glob=6.96km PASS (144s)
  [w0] ( 5, 9) tf=4.15727 dV=0.7762 peris=  3549 vArr=0.287 glob=12.97km PASS (51s)
  [w0] ( 5,11) tf=4.39778 dV=0.8232 peris=  5952 vArr=0.503 glob=19.04km PASS (93s)
  [w0] ( 9, 7) tf=4.60055 dV=0.8631 peris=  1012 vArr=0.156 glob=43.01km PASS (235s)
  [w0] ( 9,11) tf=6.20762 dV=1.1856 peris=   500 vArr=0.503 glob=25.64km PASS (138s)
WAVE 0 done: 8/144 pass. WAVE 1: multi-source chaining, full budget 1500
  [w1] ( 2, 3) tf=3.97991 dV=0.7416 peris=  8308 vArr=0.429 glob=8.89km PASS (14s)
  [w1] (12, 3) tf=3.99801 dV=0.7451 peris=  8305 vArr=0.429 glob=11.35km PASS (12s)
  [w1] ( 1, 4) tf=3.69663 dV=0.6867 peris= 11514 vArr=0.368 glob=1.23km PASS (93s)
  [w1] ( 1, 2) tf=5.68578 dV=1.0796 peris= 10610 vArr=0.201 glob=5.39km PASS (95s)
  [w1] ( 2,11) tf=5.18982 dV=0.9800 peris=  1877 vArr=0.503 glob=101.77km fail (125s)
  [w1] (12,11) tf=24.67925 dV=6.0169 peris= -1737 vArr=0.503 glob=Infkm fail (487s)
  [w1] ( 1,12) tf=13.25536 dV=1.9712 peris= -1737 vArr=0.143 glob=Infkm fail (152s)
  [w1] ( 1,10) tf=40.32479 dV=14.7632 peris= 16935 vArr=0.283 glob=Infkm fail (234s)
  [w1] ( 4, 9) tf=4.26135 dV=0.7965 peris=  7851 vArr=0.287 glob=1.05km PASS (6s)
  [w1] ( 2, 9) tf=4.32966 dV=0.8099 peris=  7772 vArr=0.287 glob=11.88km PASS (7s)
  [w1] ( 3,10) tf=36.90975 dV=14.4471 peris= -1737 vArr=0.283 glob=Infkm fail (315s)
  [w1] ( 3, 8) tf=60.39387 dV=10.2645 peris= -1502 vArr=0.603 glob=Infkm fail (292s)
  [w1] ( 6, 5) tf=7.51400 dV=1.4568 peris=  7044 vArr=0.207 glob=49.80km PASS (133s)
  [w1] ( 4, 5) tf=22.27415 dV=4.7740 peris= 14880 vArr=0.207 glob=Infkm fail (215s)
  [w1] ( 5, 6) tf=15.78405 dV=2.6206 peris=  7829 vArr=0.744 glob=Infkm fail (454s)
  [w1] ( 5, 4) tf=5.19041 dV=0.9801 peris=  2517 vArr=0.368 glob=7.05km PASS (78s)
  [w1] ( 6, 9) tf=4.10491 dV=0.7659 peris=  6202 vArr=0.287 glob=19.99km PASS (19s)
  [w1] ( 5,10) tf=4.52850 dV=0.8489 peris=  4724 vArr=0.283 glob=6.63km PASS (104s)
  [w1] ( 5, 8) tf=74.47884 dV=26.4414 peris= -1271 vArr=0.603 glob=Infkm fail (331s)
  [w1] ( 6,11) tf=4.39372 dV=0.8224 peris=  6651 vArr=0.503 glob=15.66km PASS (16s)
  [w1] ( 4,11) tf=4.41342 dV=0.8263 peris=  5623 vArr=0.503 glob=22.58km PASS (13s)
  [w1] ( 5,12) tf=4.36146 dV=0.8161 peris=  5536 vArr=0.143 glob=2.14km PASS (10s)
  [w1] (10, 7) tf=5.37569 dV=1.0172 peris=  2566 vArr=0.156 glob=6.44km PASS (177s)
  [w1] ( 8, 7) tf=28.29454 dV=3.3133 peris=  -685 vArr=0.156 glob=Infkm fail (304s)
  [w1] ( 9, 8) tf=53.51592 dV=26.4336 peris= -1626 vArr=0.603 glob=Infkm fail (318s)
  [w1] ( 9, 6) tf=24.67643 dV=3.3065 peris= -1726 vArr=0.744 glob=Infkm fail (605s)
  [w1] (10,11) tf=53.16666 dV=11.4852 peris= -1737 vArr=0.503 glob=Infkm fail (215s)
  [w1] ( 8,11) tf=37.50102 dV=10.0210 peris= -1567 vArr=0.503 glob=Infkm fail (222s)
  [w1] ( 9,12) tf=35.96065 dV=11.2351 peris=   264 vArr=0.143 glob=Infkm fail (231s)
  [w1] ( 9,10) tf=32.94421 dV=9.7067 peris=   524 vArr=0.283 glob=Infkm fail (216s)
  [w1] ( 3, 3) tf=4.19859 dV=0.7842 peris=   556 vArr=0.429 glob=18.04km PASS (22s)
  [w1] ( 2, 4) tf=5.68793 dV=1.0800 peris=  5531 vArr=0.368 glob=60.53km PASS (55s)
  [w1] ( 2, 2) tf=4.31443 dV=0.8069 peris=   838 vArr=0.201 glob=1.23km PASS (98s)
  [w1] (11, 3) tf=4.00589 dV=0.7467 peris=  7703 vArr=0.429 glob=13.26km PASS (8s)
  [w1] (12, 4) tf=5.71898 dV=1.0863 peris=  6271 vArr=0.368 glob=69.94km PASS (105s)
  [w1] (12, 2) tf=5.70579 dV=1.0836 peris= 10609 vArr=0.201 glob=5.87km PASS (124s)
