THRUST LADDER: 36 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (0 cells resumed/skipped)
  ( 1, 1) T= 15.0  tf=0.11639 (0.516 d)  fly=0.00km  acc=0.0e+00  OK (11s)
  ( 1, 1) T= 12.0  tf=0.13112 (0.581 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T= 10.0  tf=0.14441 (0.640 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  7.0  tf=0.17411 (0.772 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  5.0  tf=0.20726 (0.919 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  3.0  tf=0.26901 (1.192 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  2.0  tf=0.32976 (1.462 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  1.5  tf=0.38029 (1.686 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  1.0  tf=0.46368 (2.055 d)  fly=0.00km  acc=0.0e+00  OK (12s)
  [batch wall budget reached -- exiting cleanly after 1 cells]
THRUST LADDER DONE: 9 verified entries over 36 cells, 0.5 min
THRUST LADDER: 35 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (1 cells resumed/skipped)
  ( 2, 1) T= 15.0  tf=0.11848 (0.525 d)  fly=0.00km  acc=0.0e+00  OK (15s)
  ( 2, 1) T= 12.0  tf=0.13349 (0.592 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T= 10.0  tf=0.14705 (0.652 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T=  7.0  tf=0.17738 (0.786 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  5.0  tf=0.21132 (0.937 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  3.0  tf=0.27495 (1.219 d)  fly=0.00km  acc=0.0e+00  OK (15s)
  ( 2, 1) T=  2.0  tf=0.33843 (1.500 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  1.5  tf=0.39234 (1.739 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  1.0  tf=0.48500 (2.150 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T= 15.0  tf=0.13122 (0.582 d)  fly=0.00km  acc=0.0e+00  OK (69s)
  ( 3, 1) T= 12.0  tf=0.14847 (0.658 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 1) T= 10.0  tf=0.16418 (0.728 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 3, 1) T=  7.0  tf=0.19980 (0.886 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  5.0  tf=0.24061 (1.067 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  3.0  tf=0.32070 (1.422 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  2.0  tf=0.40734 (1.806 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  1.5  tf=0.48906 (2.168 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  1.0  tf=0.65999 (2.926 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T= 15.0  tf=1.64842 flown 21654659.9 km > gate -- ladder stops
  ( 5, 1) T= 15.0  tf=0.12713 (0.564 d)  fly=0.00km  acc=0.0e+00  OK (89s)
  ( 5, 1) T= 12.0  tf=0.14326 (0.635 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 1) T= 10.0  tf=0.15780 (0.699 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 1) T=  7.0  tf=0.19028 (0.843 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 1) T=  5.0  tf=0.22653 (1.004 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 1) T=  3.0  tf=0.29413 (1.304 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 1) T=  2.0  tf=0.36083 (1.599 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 1) T=  1.5  tf=0.41650 (1.846 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 1) T=  1.0  tf=0.50872 (2.255 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  [batch wall budget reached -- exiting cleanly after 4 cells]
THRUST LADDER DONE: 36 verified entries over 35 cells, 4.5 min
THRUST LADDER: 32 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (4 cells resumed/skipped)
  ( 4, 1) T= 15.0  tf=1.64842 flown 21654659.9 km > gate -- ladder stops
  ( 6, 1) T= 15.0  tf=0.11877 (0.526 d)  fly=0.00km  acc=0.0e+00  OK (97s)
  ( 6, 1) T= 12.0  tf=0.13389 (0.594 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 1) T= 10.0  tf=0.14756 (0.654 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 1) T=  7.0  tf=0.17816 (0.790 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 1) T=  5.0  tf=0.21241 (0.942 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 1) T=  3.0  tf=0.27649 (1.226 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 1) T=  2.0  tf=0.33985 (1.506 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 1) T=  1.5  tf=0.39277 (1.741 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 1) T=  1.0  tf=0.48037 (2.129 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 2) T= 15.0  tf=0.11621 (0.515 d)  fly=0.00km  acc=0.0e+00  OK (16s)
  ( 1, 2) T= 12.0  tf=0.13115 (0.581 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 2) T= 10.0  tf=0.14469 (0.641 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 2) T=  7.0  tf=0.17513 (0.776 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 2) T=  5.0  tf=0.20942 (0.928 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 2) T=  3.0  tf=0.27416 (1.215 d)  fly=0.00km  acc=0.0e+00  OK (1s)
