THRUST LADDER: 36 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (0 cells resumed/skipped)
  ( 1, 1) T= 15.0  tf=0.13050 (0.578 d)  fly=0.92km  acc=NaN  fail (14s)
  ( 1, 1) T= 12.0  tf=0.14719 (0.652 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T= 10.0  tf=0.16225 (0.719 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  7.0  tf=0.19591 (0.868 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  5.0  tf=0.23347 (1.035 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  3.0  tf=0.30345 (1.345 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  2.0  tf=0.37230 (1.650 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  1.5  tf=0.42957 (1.904 d)  fly=0.00km  acc=0.0e+00  OK (13s)
  ( 1, 1) T=  1.0  tf=0.52408 (2.323 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T= 15.0  tf=0.13378 (0.593 d)  fly=0.00km  acc=0.0e+00  OK (57s)
  ( 2, 1) T= 12.0  tf=0.15093 (0.669 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T= 10.0  tf=0.16641 (0.738 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 2, 1) T=  7.0  tf=0.20103 (0.891 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T=  5.0  tf=0.23975 (1.063 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  3.0  tf=0.31222 (1.384 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  2.0  tf=0.38423 (1.703 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  1.5  tf=0.44502 (1.973 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  1.0  tf=0.54816 (2.430 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  [batch wall budget reached -- exiting cleanly after 2 cells]
THRUST LADDER DONE: 17 verified entries over 36 cells, 1.8 min
THRUST LADDER: 34 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (2 cells resumed/skipped)
  ( 3, 1) T= 15.0  tf=0.14601 (0.647 d)  fly=0.00km  acc=0.0e+00  OK (98s)
  ( 3, 1) T= 12.0  tf=0.16520 (0.732 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 1) T= 10.0  tf=0.18261 (0.809 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 1) T=  7.0  tf=0.22185 (0.983 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  5.0  tf=0.26634 (1.181 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  3.0  tf=0.35186 (1.560 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  2.0  tf=0.44102 (1.955 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  1.5  tf=0.52116 (2.310 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  1.0  tf=0.67386 (2.987 d)  fly=0.00km  acc=0.0e+00  OK (1s)
