THRUST LADDER: 36 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (0 cells resumed/skipped)
  ( 1, 1) T= 15.0  direct fail (defect 3.8e-03) -- ladder stops
  [batch wall budget reached -- exiting cleanly after 1 cells]
THRUST LADDER DONE: 0 verified entries over 36 cells, 5.0 min
THRUST LADDER: 36 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (0 cells resumed/skipped)
  ( 1, 1) T= 15.0  direct fail (defect 3.8e-03) -- ladder stops
  [batch wall budget reached -- exiting cleanly after 1 cells]
THRUST LADDER DONE: 0 verified entries over 36 cells, 5.0 min
THRUST LADDER: 35 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (1 cells resumed/skipped)
  ( 2, 1) T= 15.0  tf=0.15533 (0.689 d)  fly=0.00km  acc=0.0e+00  OK (14s)
  ( 2, 1) T= 12.0  tf=0.17518 (0.777 d)  fly=1.09km  acc=NaN  fail (2s)
  ( 2, 1) T= 10.0  tf=0.19301 (0.856 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T=  7.0  tf=0.23257 (1.031 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T=  5.0  tf=0.27626 (1.225 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  3.0  tf=0.35638 (1.580 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  2.0  tf=0.43373 (1.923 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  1.5  tf=0.49709 (2.203 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  1.0  tf=0.60015 (2.660 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T= 15.0  tf=0.14156 (0.627 d)  fly=0.00km  acc=0.0e+00  OK (82s)
  ( 3, 1) T= 12.0  tf=0.15924 (0.706 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T= 10.0  tf=0.17510 (0.776 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  7.0  tf=0.21019 (0.932 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  5.0  tf=0.24891 (1.103 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  3.0  tf=0.32027 (1.420 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  2.0  tf=0.39067 (1.732 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  1.5  tf=0.45098 (1.999 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  1.0  tf=0.56233 (2.493 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T= 15.0  tf=0.56564 flown 8367.7 km > gate -- ladder stops
  ( 5, 1) T= 15.0  tf=0.15111 (0.670 d)  fly=2.07km  acc=NaN  fail (68s)
  ( 5, 1) T= 12.0  tf=0.17144 (0.760 d)  fly=1.51km  acc=NaN  fail (2s)
  ( 5, 1) T= 10.0  tf=0.18994 (0.842 d)  fly=1.90km  acc=NaN  fail (2s)
  ( 5, 1) T=  7.0  tf=0.23180 (1.027 d)  fly=1.78km  acc=NaN  fail (2s)
  ( 5, 1) T=  5.0  tf=0.27936 (1.238 d)  fly=1.39km  acc=NaN  fail (2s)
  ( 5, 1) T=  3.0  tf=0.37020 (1.641 d)  fly=2.87km  acc=NaN  fail (2s)
  ( 5, 1) T=  2.0  tf=0.46223 (2.049 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 1) T=  1.5  tf=0.54052 (2.396 d)  fly=3.71km  acc=NaN  fail (2s)
  ( 5, 1) T=  1.0  tf=0.67249 (2.981 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 1) T= 15.0  tf=0.16065 (0.712 d)  fly=0.00km  acc=0.0e+00  OK (40s)
  ( 6, 1) T= 12.0  tf=0.18201 (0.807 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 1) T= 10.0  tf=0.20135 (0.893 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 1) T=  7.0  tf=0.24481 (1.085 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 1) T=  5.0  tf=0.29367 (1.302 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 1) T=  3.0  tf=0.38557 (1.709 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 1) T=  2.0  tf=0.47693 (2.114 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 1) T=  1.5  tf=0.55347 (2.453 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 1) T=  1.0  tf=0.68042 (3.016 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  [batch wall budget reached -- exiting cleanly after 5 cells]
THRUST LADDER DONE: 28 verified entries over 35 cells, 4.5 min
THRUST LADDER: 31 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (5 cells resumed/skipped)
  ( 4, 1) T= 15.0  tf=0.56564 flown 8367.7 km > gate -- ladder stops
THRUST LADDER: 30 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (6 cells resumed/skipped)
THRUST LADDER: 29 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (7 cells resumed/skipped)
  ( 2, 2) T= 15.0  tf=0.15857 (0.703 d)  fly=0.00km  acc=0.0e+00  OK (79s)
  ( 2, 2) T= 12.0  tf=0.17900 (0.793 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 2) T= 10.0  tf=0.19737 (0.875 d)  fly=1.50km  acc=NaN  fail (2s)
  ( 2, 2) T=  7.0  tf=0.23818 (1.056 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 2) T=  5.0  tf=0.28335 (1.256 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 2) T=  3.0  tf=0.36645 (1.624 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 2) T=  2.0  tf=0.44690 (1.981 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 2) T=  1.5  tf=0.51290 (2.274 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 2) T=  1.0  tf=0.62027 (2.749 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 2) T= 15.0  tf=0.14655 (0.650 d)  fly=0.00km  acc=0.0e+00  OK (63s)
  ( 3, 2) T= 12.0  tf=0.16500 (0.731 d)  fly=0.00km  acc=0.0e+00  OK (4s)
  ( 3, 2) T= 10.0  tf=0.18156 (0.805 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 2) T=  7.0  tf=0.21825 (0.967 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 2) T=  5.0  tf=0.25876 (1.147 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 2) T=  3.0  tf=0.33343 (1.478 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 2) T=  2.0  tf=0.40699 (1.804 d)  fly=0.00km  acc=0.0e+00  OK (1s)
