THRUST LADDER: 36 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (0 cells resumed/skipped)
  ( 1, 1) T= 15.0  tf=0.16348 (0.725 d)  fly=0.00km  acc=0.0e+00  OK (10s)
  ( 1, 1) T= 12.0  tf=0.18489 (0.820 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T= 10.0  tf=0.20420 (0.905 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  7.0  tf=0.24729 (1.096 d)  fly=2.41km  acc=NaN  fail (2s)
  ( 1, 1) T=  5.0  tf=0.29530 (1.309 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  3.0  tf=0.38440 (1.704 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  2.0  tf=0.47159 (2.090 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  1.5  tf=0.54375 (2.410 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  1.0  tf=0.66224 (2.935 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T= 15.0  tf=0.16231 (0.719 d)  fly=0.00km  acc=0.0e+00  OK (14s)
  ( 2, 1) T= 12.0  tf=0.18346 (0.813 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T= 10.0  tf=0.20252 (0.898 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T=  7.0  tf=0.24501 (1.086 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T=  5.0  tf=0.29228 (1.296 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T=  3.0  tf=0.37993 (1.684 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T=  2.0  tf=0.46579 (2.065 d)  fly=0.00km  acc=0.0e+00  OK (1s)
THRUST LADDER: 34 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (2 cells resumed/skipped)
  ( 3, 1) T= 15.0  tf=0.16045 (0.711 d)  fly=0.00km  acc=0.0e+00  OK (67s)
  ( 3, 1) T= 12.0  tf=0.18135 (0.804 d)  fly=2.47km  acc=NaN  fail (2s)
  ( 3, 1) T= 10.0  tf=0.20020 (0.887 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 1) T=  7.0  tf=0.24228 (1.074 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 1) T=  5.0  tf=0.28921 (1.282 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 1) T=  3.0  tf=0.37676 (1.670 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  2.0  tf=0.46349 (2.055 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 1) T=  1.5  tf=0.53662 (2.379 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  1.0  tf=0.66105 (2.930 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T= 15.0  tf=0.16018 (0.710 d)  fly=0.00km  acc=0.0e+00  OK (61s)
  ( 4, 1) T= 12.0  tf=0.18120 (0.803 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 4, 1) T= 10.0  tf=0.20021 (0.887 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 4, 1) T=  7.0  tf=0.24277 (1.076 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 4, 1) T=  5.0  tf=0.29046 (1.288 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T=  3.0  tf=0.38000 (1.684 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T=  2.0  tf=0.46936 (2.080 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 4, 1) T=  1.5  tf=0.54503 (2.416 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 4, 1) T=  1.0  tf=0.67380 (2.987 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 1) T= 15.0  tf=0.16225 (0.719 d)  fly=0.00km  acc=0.0e+00  OK (9s)
  ( 5, 1) T= 12.0  tf=0.18368 (0.814 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 1) T= 10.0  tf=0.20306 (0.900 d)  fly=0.00km  acc=0.0e+00  OK (2s)
